x,y
410.5937325729911,-422.953125
408.45287227765516,-423.03962296510673
406.31201198231923,-423.1261209302135
404.17064444992803,-423.1875
402.0280374626078,-423.1875
399.88543047528765,-423.1875
397.7428234879674,-423.1875
395.6002165006472,-423.1875
393.457609513327,-423.1875
391.31500252600677,-423.1875
389.1723955386866,-423.1875
387.0297885513664,-423.1875
384.88718156404616,-423.1875
382.74457457672594,-423.1875
380.6019675894057,-423.1875
378.45936060208555,-423.1875
376.31675361476533,-423.1875
374.1741466274451,-423.1875
372.0315396401249,-423.1875
369.88893265280467,-423.1875
367.7463256654845,-423.1875
365.6037186781643,-423.1875
363.46111169084406,-423.1875
361.31850470352384,-423.1875
359.1758977162036,-423.1875
357.03329072888346,-423.1875
354.89068374156324,-423.1875
352.748076754243,-423.1875
350.6054697669228,-423.1875
348.4628627796026,-423.1875
346.3202557922824,-423.1875
344.1776488049622,-423.1875
342.03504181764197,-423.1875
339.89243483032175,-423.1875
337.7498278430015,-423.1875
335.60722085568136,-423.1875
333.46461386836114,-423.1875
331.3220068810409,-423.1875
329.1793998937207,-423.1875
327.0367929064005,-423.1875
324.8941859190803,-423.1875
322.7515789317601,-423.1875
320.6089719444399,-423.1875
318.46636495711965,-423.1875
316.32375796979943,-423.1875
314.18115098247927,-423.1875
312.03854399515905,-423.1875
309.8959370078388,-423.1875
307.7533300205186,-423.1875
305.6107230331984,-423.1875
303.4681160458782,-423.1875
301.325509058558,-423.1875
299.21162137237485,-422.92840522964536
297.12102589724725,-422.4591768614819
295.0304304221196,-421.9899484933185
292.939834946992,-421.52072012515504
291.68195751468426,-420.17703642487936
291.11112827629626,-418.1118684697932
290.54029903790826,-416.0467005147071
289.9694697995203,-413.9815325596209
289.3986405611323,-411.91636460453475
288.8278113227443,-409.8511966494486
288.2569820843563,-407.7860286943624
287.6861528459683,-405.72086073927625
287.84331346758097,-403.6349633272182
288.29570205207165,-401.5406593209345
288.7480906365624,-399.4463553146508
289.20047922105306,-397.35205130836715
289.6528678055438,-395.2577473020835
290.1052563900345,-393.16344329579977
290.5576449745252,-391.0691392895161
291.01003355901594,-388.97483528323244
291.46242214350667,-386.8805312769487
291.91481072799735,-384.78622727066505
292.3671993124881,-382.6919232643814
292.81958789697876,-380.59761925809767
293.2719764814695,-378.503315251814
293.7243650659602,-376.40901124553034
294.1767536504509,-374.3147072392467
294.62914223494164,-372.22040323296295
295.0815308194324,-370.1260992266793
295.53391940392305,-368.0317952203956
295.9863079884138,-365.93749121411196
296.43869657290446,-363.8431872078283
296.8910851573952,-361.7488832015446
297.34347374188593,-359.6545791952609
297.97329385928157,-357.61819651392295
298.8437017494932,-355.6603520852793
299.7141096397049,-353.7025076566358
300.5845175299165,-351.7446632279922
301.4549254201282,-349.7868187993486
302.32533331033983,-347.82897437070505
303.1957412005515,-345.8711299420615
304.06614909076313,-343.9132855134179
304.9365569809748,-341.95544108477435
305.80696487118644,-339.9975966561308
306.6773727613981,-338.0397522274872
307.54778065160974,-336.0819077988436
308.4181885418214,-334.1240633702001
309.28859643203305,-332.16621894155645
310.1590043222447,-330.2083745129129
311.02941221245635,-328.2505300842693
311.899820102668,-326.29268565562575
312.77022799287965,-324.3348412269822
313.6406358830913,-322.3769967983386
314.51104377330296,-320.41915236969504
315.3814516635146,-318.4613079410515
316.2518595537263,-316.50346351240785
317.1222674439379,-314.5456190837643
317.9926753341496,-312.5877746551207
318.8630832243613,-310.62993022647714
319.7334911145729,-308.6720857978336
320.6038990047846,-306.71424136919
321.47430689499623,-304.75639694054644
322.3447147852079,-302.79855251190287
323.21512267541954,-300.8407080832593
324.0855305656312,-298.88286365461573
324.95593845584284,-296.92501922597216
325.8263463460545,-294.96717479732854
326.69675423626614,-293.00933036868497
327.5671621264778,-291.0514859400414
328.43757001668945,-289.0936415113979
329.3079779069011,-287.13579708275427
330.17838579711275,-285.1779526541107
331.0487936873244,-283.22010822546713
331.91920157753606,-281.2622637968235
332.8732925207436,-279.3457514283249
333.8990040030098,-277.46461330015336
334.924715485276,-275.58347517198183
335.9504269675422,-273.7023370438103
336.97613844980845,-271.8211989156388
338.0018499320746,-269.9400607874673
339.0275614143408,-268.0589226592958
340.05327289660704,-266.1777845311243
341.07898437887326,-264.2966464029528
342.1046958611395,-262.41550827478125
343.1304073434057,-260.5343701466098
344.1561188256719,-258.65323201843825
345.1818303079381,-256.7720938902667
346.20754179020435,-254.89095576209516
347.23325327247056,-253.00981763392363
348.2589647547367,-251.12867950575216
349.28467623700294,-249.24754137758063
350.31038771926916,-247.3664032494091
351.3360992015354,-245.4852651212376
352.3618106838016,-243.60412699306607
353.3875221660678,-241.72298886489457
354.413233648334,-239.84185073672307
355.43894513060025,-237.96071260855155
356.46465661286646,-236.07957448038002
357.4903680951327,-234.1984363522085
358.51607957739884,-232.31729822403702
359.54179105966506,-230.4361600958655
360.5675025419313,-228.55502196769396
361.5932140241975,-226.67388383952243
362.6189255064637,-224.7927457113509
363.6446369887299,-222.91160758317943
364.67034847099615,-221.0304694550079
365.69605995326236,-219.14933132683637
366.7217714355286,-217.26819319866485
367.8492072215625,-215.44627944984816
368.97872473961246,-213.62557769543272
370.1082422576624,-211.80487594101723
371.23775977571245,-209.98417418660173
372.3672772937624,-208.16347243218627
373.4967948118124,-206.34277067777083
374.62631232986234,-204.52206892335533
375.75582984791237,-202.70136716893984
376.88534736596233,-200.88066541452437
378.0148648840123,-199.05996366010888
379.14438240206226,-197.23926190569344
380.2738999201123,-195.41856015127794
381.40341743816225,-193.59785839686248
382.5329349562122,-191.77715664244698
383.66245247426224,-189.9564548880315
384.74672482241476,-188.10879290485548
385.8103908421244,-186.24885223358976
386.87405686183405,-184.388911562324
387.9377228815437,-182.5289708910583
389.0013889012534,-180.66903021979255
390.065054920963,-178.80908954852686
391.1287209406727,-176.9491488772611
392.19238696038235,-175.0892082059954
393.256052980092,-173.22926753472964
394.3197189998017,-171.36932686346393
395.3833850195113,-169.50938619219824
396.447051039221,-167.6494455209325
397.47181896769763,-165.76816642180012
398.4688350886062,-163.87166344084758
399.46585120951477,-161.97516045989502
400.46286733042325,-160.07865747894252
