x,y
293.285452157801,-464.08203125
293.285452157801,-462.0894437098188
293.1580972316197,-460.1020135287951
292.9969779902509,-458.11595066590627
292.7173017074073,-456.1474391973657
292.29608090390843,-454.1998822302951
291.8748601004096,-452.2523252632245
291.45363929691075,-450.3047682961539
290.988097985819,-448.3681267689139
290.456696933301,-446.447705454028
289.925295880783,-444.52728413914207
289.39389482826493,-442.60686282425615
288.86249377574694,-440.68644150937024
288.3240256687521,-438.76799624351713
287.78228114215057,-436.85046711122664
287.240536615549,-434.93293797893614
286.69879208894747,-433.01540884664564
286.1700302779991,-431.0942965636897
285.6515499234916,-429.17034666120384
285.1330695689841,-427.24639675871805
284.62272334195944,-425.3203324491478
284.138645626801,-423.38743983159964
283.6545679116425,-421.4545472140514
283.1963918644582,-419.5159681597449
282.82628430932823,-417.5580546011522
282.4561767541983,-415.60014104255947
282.08606919906833,-413.6422274839668
281.85273132453483,-411.66487460259407
281.6626387056733,-409.68137519459316
281.4725460868118,-407.6978757865923
281.28245346795035,-405.71437637859145
281.09236084908883,-403.73087697059054
281.0120525122668,-401.74007321667614
280.9376940089094,-399.7488735987915
280.863335505552,-397.7576739809069
280.7889770021946,-395.7664743630222
280.71461849883724,-393.7752747451376
280.67604687621883,-391.7838296206492
280.7230794505743,-389.7917972307933
280.7701120249297,-387.7997648409374
280.81714459928514,-385.80773245108156
280.8641771736406,-383.8157000612257
280.91120974799605,-381.8236676713698
281.2999099879211,-379.873319266252
281.7331904320895,-377.9284097151451
282.16647087625785,-375.9835001640382
282.59975132042615,-374.0385906129314
283.1406311864756,-372.13520106395174
284.1261143864961,-370.4033731372331
285.11159758651667,-368.67154521051435
286.0970807865372,-366.9397172837957
287.0825639865578,-365.207889357077
288.22363963785415,-363.58139067437173
289.4654377661026,-362.0230766771413
290.707235894351,-360.46476267991096
291.94903402259945,-358.90644868268055
293.1908321508478,-357.3481346854502
294.6079268240334,-355.9514431614542
296.0604830083143,-354.58744696028907
297.5130391925951,-353.223450759124
298.96559537687597,-351.8594545579588
