x,y
580.2333751362792,-280.0
582.3864601059162,-280.4974409811938
584.5395450755533,-280.9948819623876
586.6731611873358,-281.5657709931437
588.7899495203377,-282.20014436074
590.8340049594837,-283.0173632253346
592.6510393870603,-284.18058263934677
592.7528616376084,-286.1274477987688
591.4313346311292,-287.87637727244226
591.5607221396704,-289.83275333593554
593.3352853557216,-291.07914890893784
595.3229764677062,-292.03117091475855
597.3757565157428,-292.84928856560765
599.444978982915,-293.624045129396
601.5240878680912,-294.37272974913225
603.5947393200155,-295.14389063782585
605.6516663677194,-295.9515251694501
607.6828130300446,-296.81527679605915
609.6355537935048,-297.84969737153557
611.2745222974194,-299.28005559521495
611.1331953819054,-301.1981766199683
609.2904200990588,-302.41653833031114
607.3271565654743,-303.43084534199227
605.5528550651254,-304.7317730931219
605.8779450276843,-306.7062049968067
607.5025565255453,-308.17594141171145
609.3441292471264,-309.3973472932171
611.2435446386924,-310.52647632283833
613.1270340591083,-311.6806181512073
614.953586281607,-312.9243743149036
616.4867007467114,-314.4916823105121
616.4103779699013,-316.44220579582577
614.4241171388649,-317.4107048032274
612.2900785141129,-317.9695976639214
610.1367442001605,-318.4643134318519
607.9710460390407,-318.9036013683702
605.8347708495739,-319.46197143673123
603.8262726807833,-320.3026920522436
603.0557857874919,-322.0575942486316
604.2554635916028,-323.85297728950366
605.7798298974407,-325.4507214480047
607.1755312231595,-327.15584282826364
607.5169826162434,-329.20431319157296
605.570271572327,-330.2088837799318
603.3829565535254,-330.5206689097461
601.1879491103062,-330.75423649307425
598.9801919674942,-330.8492670913597
596.7721129204402,-330.93534850878837
594.5632337325922,-330.99918540830214
592.356226865112,-331.0937818611049
590.1559127447058,-331.29833060294663
588.0238847389403,-331.81048837357605
586.7033929636698,-333.315929492706
587.6696117131974,-335.28932120897235
588.6914555801836,-337.2286303046447
588.1202490973685,-339.07969148326293
586.0018612080455,-339.57194438984476
583.8028269987448,-339.6671206886984
581.5932864992899,-339.6331619266951
579.3892101787902,-339.4829086330798
577.1862198740151,-339.3095415851304
574.9833277925318,-339.13493344030064
572.7804920698476,-338.95961317588615
570.5739063400027,-338.87267924439567
568.3641369137753,-338.86078390252504
566.3788865230892,-339.58872183636504
566.7680509771737,-341.63170388990113
567.933296552572,-343.50788576875635
